row_id,invoice_type,invoice_date,customer_code,customer_name,order_code,account_detail,subtotal,tax,total_amount
274.0,فاکتور فروش,1403/09/22,09/593,شرکت به بران تجارت نیکان,به بران تجارت نیکان - 29247,403J/01128,51034440.0,5103444.0,56137884.0
275.0,فاکتور فروش,1403/09/25,09/552,نیکو الکترونیک پیشرو,کرمان خودرو - 29199,403N/03/013,1226100000.0,122610000.0,1348710000.0
276.0,فاکتور فروش,1403/09/25,09/089,مهندسی مهاران,مهندسی مهاران - 29331,403J/01156,5649198.4,564919.8,6214118.2
277.0,فاکتور فروش,1403/09/27,09/556,پارس آسمان رو سپند,پارس آسمان روسپند - 29258,403J/01136,30585280.0,3058528.0,33949660.8
278.0,فاکتور فروش,1403/09/27,09/556,پارس آسمان رو سپند,پارس آسمان روسپند - 29259,403J/01136,252514080.0,25251408.0,280337900.5
279.0,فاکتور فروش,1403/09/27,09/556,پارس آسمان رو سپند,پارس آسمان روسپند - 29260,403J/01136,82653417.2,8265341.7,91756460.9
280.0,فاکتور فروش,1403/09/27,09/556,پارس آسمان رو سپند,پارس آسمان روسپند - 29261,403J/01136,21252520.0,2125252.0,23627772.0
281.0,فاکتور فروش,1403/09/27,09/556,پارس آسمان رو سپند,پارس آسمان روسپند - 29262,403J/01136,199826511.9,19982651.2,221808734.6
282.0,فاکتور فروش,1403/09/27,09/038,فاراتل,فاراتل  - ‏_x001F_29273,403J/01142,30964720.0,3096472.0,34370839.2
283.0,فاکتور فروش,1403/09/28,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29135,403J/01103,164721498.6,16472149.9,181193648.5
284.0,فاکتور فروش,1403/09/28,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29157,403J/01103,152632900.0,15263290.0,167896190.0
285.0,فاکتور فروش,1403/09/28,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29136,403J/01103,178648351.4,17864835.1,196513186.5
286.0,فاکتور فروش,1403/09/28,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29129,402J/01048,321166493.6,32116649.4,353283143.0
287.0,فاکتور فروش,1403/09/28,09/552,نیکو الکترونیک پیشرو,نیکو الکترونیک پیشرو - 29229,403N/03/025,778128000.0,77812800.0,855940800.0
288.0,فاکتور فروش,1403/09/28,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29124,403J/01103,270880000.0,27088000.0,297968000.0
289.0,فاکتور فروش,1403/09/28,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29135,403J/01103,627233144.0,62723314.3,689956458.3
290.0,فاکتور فروش,1403/09/28,09/101,افزار آزما,افزار آزما - 29330,403J/01147,26130572.4,2613057.2,28743629.6
291.0,فاکتور فروش,1403/09/28,09/566,آنیک الکترونیک کویر یزد,,پروژه عمومی,2690304890.0,269030489.0,2959335379.0
292.0,فاکتور فروش,1403/09/29,09/038,فاراتل,فاراتل  - ‏_x001F_29277,403J/01142,27707370.0,2770737.0,30755180.7
293.0,فاکتور فروش,1403/09/29,09/113,کاوندیش سیستم,کاوندیش سیستم - 29241,403J/01127,26722970.0,2672297.0,29395267.0
294.0,فاکتور فروش,1403/09/29,09/552,نیکو الکترونیک پیشرو,,پروژه عمومی,55507000.0,5550700.0,61057700.0
295.0,فاکتور فروش,1403/09/29,09/566,آنیک الکترونیک کویر یزد,,پروژه عمومی,2421528010.0,242152801.0,2663680811.0
296.0,فاکتور فروش,1403/10/02,09/588,صنعت سازه سیم پویش,صنعت سازه سیم پویش - 29339,403J/01159,7770685.5,777068.6,8797754.1
297.0,فاکتور فروش,1403/10/03,09/038,فاراتل,فاراتل  - ‏_x001F_29287,403J/01142,186391870.0,18639187.0,206894975.7
298.0,فاکتور فروش,1403/10/03,09/038,فاراتل,فاراتل  - ‏_x001F_29286,403J/01142,23786525.0,2378652.5,26415177.5
299.0,فاکتور فروش,1403/10/04,09/038,فاراتل,فاراتل  - ‏_x001F_29280,403J/01142,29590000.0,2959000.0,32844900.0
300.0,فاکتور فروش,1403/10/05,09/593,شرکت به بران تجارت نیکان,به بران تجارت نیکان - ‏_x001F_29248,403J/01128,100616010.0,10061601.0,114958481.0
301.0,فاکتور فروش,1403/10/09,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29158,403J/01103,251905631.0,25190563.1,277096194.1
302.0,فاکتور فروش,1403/10/09,09/094,شیوا امواج,شیوا امواج - 29169,403J/01088,253657406.2,25365740.7,279023146.9
303.0,فاکتور فروش,1403/10/09,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29154,403J/01103,123020949.8,12302095.0,135323044.8
304.0,فاکتور فروش,1403/10/11,09/101,افزار آزما,افزار آزما - 29267,403J/01141,384605000.0,38460500.0,423065500.0
305.0,فاکتور فروش,1403/10/12,09/038,فاراتل,فاراتل  - ‏_x001F_29285,403J/01142,114344480.0,11434448.0,126922372.8
306.0,فاکتور فروش,1403/10/12,09/489,الکترونیک کاران,الکترونیک کاران - 29333,403J/01157,50834800.0,5083480.0,56426628.0
307.0,فاکتور فروش,1403/10/13,09/566,آنیک الکترونیک کویر یزد,آنیک الکترونیک کویر یزد - 29325,403J/01153,379720200.0,37972020.0,417692220.0
308.0,فاکتور فروش,1403/10/13,09/566,آنیک الکترونیک کویر یزد,آنیک الکترونیک کویر یزد - 29324,403J/01153,226676872.5,22667687.3,249344559.8
309.0,فاکتور فروش,1403/10/13,09/566,آنیک الکترونیک کویر یزد,آنیک الکترونیک کویر یزد - 29323,403J/01153,152663400.0,15266340.0,167929740.0
310.0,فاکتور فروش,1403/10/13,09/370,شرکت نیما الکترونیک آریا,رایا صنعت - 29295,403J/01144,337655731.2,33765573.1,374912606.9
311.0,فاکتور فروش,1403/10/13,09/566,آنیک الکترونیک کویر یزد,آنیک الکترونیک کویر یزد - 29329,403J/01153,79488500.0,7948850.0,87437350.0
312.0,فاکتور فروش,1403/10/13,09/370,شرکت نیما الکترونیک آریا,رایا صنعت - 29297,403J/01144,13843276.0,1384327.6,15477603.6
313.0,فاکتور فروش,1403/10/17,09/038,فاراتل,فاراتل  - ‏_x001F_29274,403J/01142,242076880.0,24207688.0,268705336.8
314.0,فاکتور فروش,1403/10/17,09/489,الکترونیک کاران,الکترونیک کاران - 29334,403J/01157,420914500.0,42091450.0,467215095.0
315.0,فاکتور فروش,1403/10/18,09/094,شیوا امواج,شیوا امواج - ‏_x001F_29122,403J/01103,6817514.4,681751.4,7499265.8
316.0,فاکتور فروش,1403/10/18,09/038,فاراتل,فاراتل  - ‏_x001F_29279,403J/01142,44543368.0,4454336.8,49443138.5
317.0,فاکتور فروش,1403/10/19,09/113,کاوندیش سیستم,کاوندیش سیستم - ‏_x001F_29242,403J/01127,3705834.2,370583.4,4076417.6
